year,Q
1963,53.8
1964,83.8
1965,73.7
1966,81.8
1967,103.5
1968,93.2
1969,57.1
1970,89.0
1971,80.2
1972,78.4
1973,73.4
1974,60.9
1975,75.3
1976,58.7
1977,94.6
1978,90.8
1979,85.5
1980,78.8
1981,95.5
1982,62.2
1983,67.1
1984,57.2
1985,58.6
1986,62.2
1987,84.2
1988,73.9
1989,78.4
1990,63.7
1991,83.6
1992,75.1
1993,72.7
1994,98.8
1995,70.7
1996,74.9
1997,84.6
1998,83.0
1999,65.7
2000,66.9
2001,68.4
2002,62.2
2003,102.1
2004,68.2
2005,75.6
2006,60.1
2007,79.8
2008,80.4
2009,89.6
2010,68.3
2011,122.5
2012,73.9
2013,53.2
2014,56.1
2015,58.5
2016,87.2
2017,54.4
2018,121.0
2019,85.1
2020,62.0
2021,54.4
2022,112.6
2023,75.6
