year,Q
1969,81.3
1970,73.4
1971,62.4
1972,74.8
1973,58.6
1974,73.9
1975,50.6
1976,66.6
1977,77.9
1978,61.9
1979,65.6
1980,89.2
1981,59.0
1982,56.5
1983,73.6
1984,61.0
1985,54.2
1986,64.0
1987,52.0
1988,72.2
1989,61.6
1990,57.9
1991,75.6
1992,57.8
1993,67.7
1994,74.9
1995,89.2
1996,51.6
1997,60.1
1998,69.0
1999,68.5
2000,107.9
2001,44.4
2002,60.7
2003,61.8
2004,73.9
2005,75.0
2006,63.2
2007,50.7
2008,48.5
2009,62.7
2010,159.3
2011,90.6
2012,77.0
2013,57.3
2014,69.1
2015,93.8
2016,78.7
2017,90.1
2018,63.0
2019,88.5
2020,60.8
2021,63.4
2022,79.5
2023,73.6
